area;emoji;name;type;hp;atk;sta;lck;int;mgk;def;note;desc;message;achiev
Shrouded Necropolis;🔱;Tainted Mace;Item-Weapon;0;2;0;-1;0;1;0;Blighted Weapon;Corrodes whatever it touches, including the hand holding it.<br>Provides <b>+2 ⚔️ Attack</b> and <b>+1 🔵 Mana</b>, suffer <b>-1 🍀 Luck</b>.;Used it before reconsidering.;none

//Shrouded Necropolis — props
Shrouded Necropolis;🔔;Hollow Bell;Prop;0;0;0;0;0;0;0;Silent Ritual;Hangs from a post with no rope to ring it.<br>The sound comes anyway.;Let it finish.;none
Shrouded Necropolis;💐;Withered Wreath;Prop;0;0;0;0;0;0;0;Old Offering;Someone thought flowers would mean something here.<br>They still might.;Passed without disturbing it.;none
Shrouded Necropolis;🎨;Sunken Mosaic;Prop;0;0;0;0;0;0;0;Buried Beauty;Visible through the grime if you stop long enough to look.<br>It shows something that no longer exists.;Stopped. Looked.;none
Shrouded Necropolis;🏛️;Open Mausoleum;Prop;0;0;0;0;0;0;0;Vacant Tomb;The door is open and nothing came out.<br>Something went in.;Didn't follow.;none
Shrouded Necropolis;🌸;Scattered Petals;Prop;0;0;0;0;0;0;0;Faded Memorial;Too fresh to be old. Someone was here recently.<br>The petals are still soft.;Found something worth pausing for.;none

//Shrouded Necropolis — traps
Shrouded Necropolis;🕯️;Vigil Collapse;Trap-Sleep;-1;0;-1;0;0;0;0;Grave Exhaustion;The grief of watching something that doesn't move finally lands.<br>The knees give before the will does.;Fell where you were standing.;none
Shrouded Necropolis;🌫️;Necrotic Mist;Trap-Sleep;-1;0;0;0;-2;0;0;Dark Fog;Rolls in from the crypts just before dawn.<br>Nobody who breathes it chooses to sleep — they just do.;Breathed the dark in and stopped.;none
Shrouded Necropolis;🪦;Stone Cold;Trap-Sleep;0;0;-2;0;-1;0;0;Dark Curse;The silence presses in until the body gives up deciding.<br>Not peace. Just absence.;The cold made the choice for you.;none
Shrouded Necropolis;⚰️;Coffin Collapse;Trap-Big;-3;0;0;0;0;0;0;Falling Tomb;The lid gave without warning.<br>The weight of the dead lands hard.;The lid found you first.;none
Shrouded Necropolis;🕳️;Grave Sinkhole;Trap-Big;-2;0;-1;0;0;0;0;Open Earth;The ground gives between one step and the next.<br>No time to correct.;Fell before you could decide not to.;none
Shrouded Necropolis;🏚️;Collapsed Arch;Trap-Obstacle;0;0;0;0;0;0;0;Crypt Rubble;Fell some time ago. Hasn't moved since.<br>Blocking the way with the authority of stone.;Moved it the hard way.;none
Shrouded Necropolis;🌿;Root Overgrowth;Trap-Obstacle;0;0;0;0;0;0;0;Living Barrier;Grew through the stone while nothing was watching.<br>The roots don't care about your direction.;Pulled them back enough to pass.;none
Shrouded Necropolis;🧱;Cursed Flagstone;Trap-Roll;-1;0;-1;0;0;0;0;Floor Trap;Looks like every other stone in the floor.<br>It isn't.;The floor didn't hold what you expected.;none
Shrouded Necropolis;🖼️;Ancestral Portrait;Trap-Attack;0;0;0;-2;-1;0;0;Cursed Artwork;The painted eyes follow. Strike it and find out what's inside.<br>The frame shattered. Something didn't.;Struck something that remembered.;none
Shrouded Necropolis;🦴;Bone Debt;Curse;-2;0;0;0;0;0;0;Dark Toll;The dead here expect a price for passage.<br>Roll to resist, or pay in health.;Paid what the dead demanded.;none
